,,,4.20,,,,,,,,,1.50,,,,,,,,,0.50,,,,,,,,,,,,,,
,TYTUŁ AUKCJI ,ZAKUP NETTO EURO,ZAKUP NETTO PLN,KUP TERAZ NETTO,KUP TERAZ BRUTTO,KOSZT WYSYŁKI,TOWAR + WYSYŁKA,KOSZT DHL BRUTTO,PRZYCINKA Z WYSYŁKI,,ALLEGRO,,,,,,,,,SKLEP ALLEGRO,,,,,,,,,DOSTEPNOŚĆ,,,,,,
,,ZAKUP NETTO EURO ZAKUP NETTO EURO,,,,,,,,,PROWIZJA,KOSZT WYSTAWIENIA,ZYSK BEZ PROWIZJI,ZYSK,ZYSK Z WYSYŁKĄ,MARŻA BEZ WYSYŁKI,MARŻA Z WYSYŁKĄ,,,PROWIZJA,KOSZT WYSTAWIENIA,ZYSK BEZ PROWIZJI,ZYSK,ZYSK Z WYSYŁKĄ,MARŻA BEZ WYSYŁKI,MARŻA Z WYSYŁKĄ,,,WYSYŁKOWO,LIM-TRADE,WYSYŁKOWO SKLEP,SPORTOWO SKLEP,,,
D.S,A1 ODKURZACZ DO POPIOŁU SEPARATOR DO KOMINKA 20 L ,10.29,43.22,51.22,63.00,16.00,79.00,10.00,6.00,,3.78,1.5,8.00,2.72,8.72,5.31%,12.97%,,,5.04,0.5,8.00,2.46,8.46,4.81%,13.82%,,,OK,OK,,,,,
D.S,A10 POPIELNICA STOJĄCA KOSZ NA ŚMIECI STAL CZARNA,7.95,33.39,41.46,51.00,15.00,66.00,14.54,.46,,3.06,1.5,8.07,3.51,3.97,8.47%,7.04%,,,4.08,0.5,8.07,3.49,3.95,8.43%,7.06%,,,,,,,,,
D.S,A12 POPIELNICA STOJĄCA KOSZ NA ŚMIECI STAL DUŻA ,8.50,35.70,43.08,52.99,16.00,68.99,14.54,1.46,,3.18,1.5,7.38,2.70,4.16,6.27%,7.05%,,,4.24,0.5,7.38,2.64,4.10,6.13%,7.12%,,,OK,OK,,,,,
T.P,A13 BIOKOMINEK ŚCIENNY NA BIOETANOL KOMINEK HIT!,42.00,176.40,210.57,259.00,20.00,279.00,14.54,5.46,,10.77,1.5,34.17,21.90,27.36,10.40%,11.87%,,,17.54,0.5,34.17,16.13,21.59,7.66%,9.59%,,,,,,,,,
T.P,A14 BIOKOMINEK OGRODOWY NA BIOETANOL CHIOS HIT! ,56.00,235.20,243.09,299.00,30.00,329.00,14.54,15.46,,11.97,1.5,7.89,-5.58,9.88,-2.30%,3.62%,,,19.94,0.5,7.89,-12.55,2.91,-5.16%,1.13%,,,OK,OK,,,,,
D.S,A16 KOKSOWNIK PALENISKO OGRODOWE METALOWE 3 NOGI ,6.99,29.36,35.69,43.90,16.00,59.90,10.00,6.00,,2.63,1.5,6.33,2.20,8.20,6.16%,15.86%,,,3.51,0.5,6.33,2.32,8.32,6.50%,18.21%,,,OK,OK,,,,,
D.S,A19 PRZYBORNIK DO KOMINKA 5-CZ. PRZYBORY KOMINEK ,8.89,37.34,46.33,56.99,15.00,71.99,10.00,5.00,,3.42,1.5,9.00,4.08,9.08,8.80%,14.80%,,,4.56,0.5,9.00,3.94,8.94,8.50%,15.86%,,,OK,,,,,,
D.S,A20 DESIGNERSKI PRZYBORNIK DO KOMINKA 5-CZĘŚCIOWY ,14.00,58.80,68.29,84.00,18.00,102.00,14.54,3.46,,5.04,1.5,9.49,2.95,6.41,4.32%,7.43%,,,6.72,0.5,9.49,2.27,5.73,3.33%,6.92%,,,OK,OK,,,,,
T.P,A21 BIOKOMINEK ŚCIENNY NA BIOETANOL KOMINEK PIEC ,36.80,154.56,174.80,215.00,17.00,232.00,14.54,2.46,,9.45,1.5,20.24,9.29,11.75,5.31%,6.13%,,,14.90,0.5,20.24,4.84,7.30,2.77%,3.85%,,,OK,OK,,,,,
T.P,A22 BIOKOMINEK STOJĄCY NA BIOETANOL KOMINEK PIEC ,40.60,170.52,194.31,239.00,17.00,256.00,14.54,2.46,,10.17,1.5,23.79,12.12,14.58,6.24%,6.90%,,,16.34,0.5,23.79,6.95,9.41,3.58%,4.51%,,,OK,OK,,,,,
T.P,A23 BIOKOMINEK ŚCIENNY NA BIOETANOL KOMINEK CZARNY ,36.00,151.20,178.05,219.00,30.00,249.00,14.54,15.46,,9.57,1.5,26.85,15.78,31.24,8.86%,15.02%,,,15.14,0.5,26.85,11.21,26.67,6.30%,13.85%,,,OK,OK,,,,,
D.S,A25 LUKSUSOWY KOSZ NA DREWNO KOMINKOWE KOLOROTY ,9.90,41.58,48.77,59.99,18.00,77.99,14.54,3.46,,3.60,1.5,7.19,2.09,5.55,4.29%,8.32%,,,4.80,0.5,7.19,1.89,5.35,3.88%,8.46%,,,OK,OK,,,,,
D.S,A26 ODKURZACZ DO POPIOŁU SEPARATOR SILNIK 1200W ,21.00,88.20,102.43,125.99,16.00,141.99,14.54,1.46,,6.78,1.5,14.23,5.95,7.41,5.81%,6.26%,,,9.56,0.5,14.23,4.17,5.63,4.07%,4.82%,,,OK,OK,,,,,
D.S,A27 GRILL WISZĄCY NA TRÓJNOGU PALENISKO STAL 201B ,16.89,70.94,84.54,103.99,14.00,117.99,10.00,4.00,,6.12,1.5,13.61,5.99,9.99,7.08%,10.13%,,,8.24,0.5,13.61,4.87,8.87,5.76%,9.38%,,,OK,OK,,,,,
D.S,A28 GRILL WISZĄCY REGULOWANY PALENISKO STAL 208B ,20.50,86.10,100.80,123.99,16.00,139.99,14.54,1.46,,6.72,1.5,14.70,6.49,7.95,6.43%,6.80%,,,9.44,0.5,14.70,4.77,6.23,4.73%,5.40%,,,OK,OK,,,,,
D.S,A29 POKROWIEC NA PARASOL OGRODOWY DO 240 CM - 4822 ,4.69,19.70,24.38,29.99,13.00,42.99,10.00,3.00,,1.80,1.5,4.68,1.38,4.38,5.68%,11.73%,,,2.40,0.5,4.68,1.78,4.78,7.32%,13.92%,,,OK,OK,,,,,
D.S,A30 POKROWIEC NA PARASOL OGRODOWY DO 240 CM BIAŁY ,6.09,25.58,31.70,38.99,15.00,53.99,10.00,5.00,,2.34,1.5,6.12,2.28,7.28,7.20%,15.59%,,,3.12,0.5,6.12,2.50,7.50,7.89%,17.99%,,,OK,OK,,,,,
D.S,A31 POKROWIEC NA PARASOL OGRODOWY DO 240 CM - 4824 ,3.00,12.60,20.33,25.00,20.00,45.00,14.54,5.46,,1.50,1.5,7.73,4.73,10.19,23.25%,25.26%,,,2.00,0.5,7.73,5.23,10.69,25.71%,30.65%,,,OK,OK,,,,,
D.S,"A32 POKROWIEC NA PARASOL OGRODOWY 2,4m/4,5m BIAŁY ",3.00,12.60,16.25,19.99,16.00,35.99,14.54,1.46,,1.20,1.5,3.65,0.95,2.41,5.86%,7.48%,,,1.60,0.5,3.65,1.55,3.01,9.55%,9.79%,,,,OK,,,,,
D.S,A33 POKROWIEC NA LEŻAK OGRODOWY MEBLE OGROD. 4827 ,3.29,13.82,17.88,21.99,15.00,36.99,10.00,5.00,,1.32,1.5,4.06,1.24,6.24,6.94%,18.98%,,,1.76,0.5,4.06,1.80,6.80,10.07%,24.39%,,,OK,OK,,,,,
D.S,A33-2 POKROWIEC NA LEŻAK OGRODOWY MEBLE OGRODOWE ,4.50,18.90,23.58,29.00,15.00,44.00,14.54,.46,,1.74,1.5,4.68,1.44,1.90,6.10%,4.92%,,,2.32,0.5,4.68,1.86,2.32,7.88%,6.08%,,,OK,OK,,,,,
D.S,A34 POKROWIEC NA HUŚTAWKĘ OGRODOWĄ 150/215 CM 4829 ,8.50,35.70,43.08,52.99,15.00,67.99,14.54,.46,,3.18,1.5,7.38,2.70,3.16,6.27%,5.45%,,,4.24,0.5,7.38,2.64,3.10,6.13%,5.39%,,,OK,OK,,,,,
D.S,A34-2 POKROWIEC NA HUŚTAWKĘ OGRODOWĄ 150/215 CM ,6.09,25.58,31.70,38.99,14.00,52.99,10.00,4.00,,2.34,1.5,6.12,2.28,6.28,7.20%,13.75%,,,3.12,0.5,6.12,2.50,6.50,7.89%,15.59%,,,OK,OK,,,,,
D.S,A35 POKROWIEC NA STÓŁ OGRODOWY 70x250x120 CM 4831 ,6.00,25.20,34.15,42.00,20.00,62.00,14.54,5.46,,2.52,1.5,8.95,4.93,10.39,14.43%,19.18%,,,3.36,0.5,8.95,5.09,10.55,14.90%,21.67%,,,OK,OK,,,,,
D.S,A36 FILTR HEPA DO ODKURZACZA ELEKTR. DO KOMINKA,3.29,13.82,17.87,21.98,15.00,36.98,10.00,5.00,,1.32,1.5,4.05,1.23,6.23,6.90%,18.96%,,,1.76,0.5,4.05,1.79,6.79,10.04%,24.38%,,,,,,,,,
D.S,A37 MATA DO ĆWICZEŃ FITNESS JOGA PILATES ANTYPOŚL. ,3.39,14.24,17.88,21.99,14.00,35.99,10.00,4.00,,1.32,1.5,3.64,0.82,4.82,4.59%,15.12%,,,1.76,0.5,3.64,1.38,5.38,7.72%,19.30%,,,OK,OK,,,,,
D.S,A38 MATA DO ĆWICZEŃ FITNESS JOGA PILATES ANTYPOŚL. ,3.50,14.70,18.69,22.99,15.00,37.99,14.54,.46,,1.38,1.5,3.99,1.11,1.57,5.95%,4.67%,,,1.84,0.5,3.99,1.65,2.11,8.84%,6.36%,,,OK,OK,,,,,
D.S,A39 WÓZEK OGRODOWY TRANSPORTOWY PRZYCZEPKA 600 KG! ,57.29,240.62,276.41,339.98,20.00,359.98,10.00,10.00,,13.20,1.5,35.79,21.09,31.09,7.63%,10.49%,,,22.40,0.5,35.79,12.89,22.89,4.66%,7.99%,,,OK,OK,,,,,
D.S,A40 KLUCZ ELEKTRYCZNY UDAROWY 1010W/450Nm NASADKI ,33.79,141.92,165.85,203.99,16.00,219.99,10.00,6.00,,9.12,1.5,23.93,13.31,19.31,8.02%,10.62%,,,14.24,0.5,23.93,9.19,15.19,5.54%,8.64%,,,OK,OK,,,,,
D.S,A41 STACJA METEO POGODA TERMOMETR ZEGAR BUDZIK 812 ,6.09,25.58,31.70,38.99,13.00,51.99,10.00,3.00,,2.34,1.5,6.12,2.28,5.28,7.20%,11.82%,,,3.12,0.5,6.12,2.50,5.50,7.89%,13.19%,,,OK,OK,,,,,
D.S,"A42 WARNIK ELEKTR. DO WINA PIWA GRZANIEC 8,8 L HIT ",23.59,99.08,117.80,144.90,15.00,159.90,10.00,5.00,,7.35,1.5,18.73,9.88,14.88,8.39%,11.20%,,,10.69,0.5,18.73,7.53,12.53,6.39%,9.81%,,,OK,OK,,,,,
D.S,A43 WÓZEK OGRODOWY Z PLANDEKĄ PRZYCZEPKA 150 KG ,29.09,122.18,143.07,175.98,20.00,195.98,10.00,10.00,,8.28,1.5,20.90,11.12,21.12,7.77%,12.95%,,,12.56,0.5,20.90,7.84,17.84,5.48%,11.65%,,,OK,OK,,,,,
D.S,A44 TŁO FOTOGRAFICZNE 3 X 3 M ZIELONE BAWEŁNIANE ,15.00,63.00,72.36,89.00,20.00,109.00,14.54,5.46,,5.34,1.5,9.36,2.52,7.98,3.48%,8.64%,,,7.12,0.5,9.36,1.74,7.20,2.40%,8.28%,,,OK,OK,,,,,
D.S,A45 TŁO FOTOGRAFICZNE 3 X 3 M CZARNE BAWEŁNIANE ,15.00,63.00,72.36,89.00,18.00,107.00,14.54,3.46,,5.34,1.5,9.36,2.52,5.98,3.48%,6.62%,,,7.12,0.5,9.36,1.74,5.20,2.40%,5.98%,,,OK,OK,,,,,
D.S,A46 TŁO FOTOGRAFICZNE 3 X 3 M BIAŁE BAWEŁNA 100% ,15.00,63.00,72.36,89.00,20.00,109.00,14.54,5.46,,5.34,1.5,9.36,2.52,7.98,3.48%,8.64%,,,7.12,0.5,9.36,1.74,7.20,2.40%,8.28%,,,OK,OK,,,,,
D.S,A47 TŁO FOTOGRAFICZNE 3 X 6 M CZARNE BAWEŁNIANE ,25.00,105.00,121.14,149.00,18.00,167.00,14.54,3.46,,7.47,1.5,16.14,7.17,10.63,5.92%,7.64%,,,10.94,0.5,16.14,4.70,8.16,3.88%,6.01%,,,OK,OK,,,,,
D.S,A49 TŁO FOTOGRAFICZNE 3 X 6 M BIAŁE BAWEŁNA 100% ,25.00,105.00,121.14,149.00,18.00,167.00,14.54,3.46,,7.47,1.5,16.14,7.17,10.63,5.92%,7.64%,,,10.94,0.5,16.14,4.70,8.16,3.88%,6.01%,,,OK,OK,,,,,
T.P,A5 DUŻY BIOKOMINEK NA BIOETANOL KOMINEK WYPRZEDAŻ! ,52.50,220.50,251.22,309.00,20.00,329.00,14.54,5.46,,12.27,1.5,30.72,16.95,22.41,6.75%,8.26%,,,20.54,0.5,30.72,9.68,15.14,3.85%,5.70%,,,OK,OK,,,,,
